@relation ClassificationProblem

@attribute leda.features.LabelSimilarity_JaroWinkler numeric
@attribute leda.features.LabelSimilarity_Levenshtein numeric
@attribute leda.features.LabelSimilarity_QGrams numeric
@attribute leda.features.WordNet_Hyponymy numeric
@attribute leda.features.wordnet.WordNet_Similarity_PatwardhanPetersen_1 numeric
@attribute leda.features.wordnet.WordNet_Similarity_JiangConrath numeric
@attribute leda.features.wordnet.WordNet_Similarity_LeacockChodorow numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lesk numeric
@attribute leda.features.wordnet.WordNet_Similarity_Lin numeric
@attribute leda.features.wordnet.WordNet_Similarity_Path numeric
@attribute leda.features.wordnet.WordNet_Similarity_Resnik numeric
@attribute leda.features.wordnet.WordNet_Similarity_WuPalmer numeric
@attribute leda.features.Ontology_Subsumption numeric
@attribute leda.features.Ontology_Similarity numeric
@attribute leda.features.Ontology_ObjectProperties numeric
@attribute leda.features.TaxonomicOverlap_Subclasses numeric
@attribute leda.features.TaxonomicOverlap_Instances numeric
@attribute leda.features.BTaxonomicOverlap_Subclasses numeric
@attribute leda.features.BTaxonomicOverlap_Instances numeric
@attribute leda.features.BOntology_Subsumption numeric
@attribute leda.features.BOntology_Similarity numeric
@attribute leda.features.Document_Similarity numeric
@attribute Name string
@attribute Class {+,-}

@data
0.373016,7,0,1,0.144068,0.079353,2.302585,86,0.384778,0.25,3.94082,0.823529,0,0.2,0.057143,0,?,0,?,0,?,0.001549,Library__Bridge,+
0,7,0,1,0.150217,0.059258,1.290984,80,?,0.090909,?,0.285714,0,0.2,0,0,?,0,0,0,0.166667,0.000987,Species__Canal,+
0.479798,19,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.002592,SpaceStation__CanadianFootballLeague,+
0.694167,6,0.095238,1,0.328574,0.07783,1.742969,193,0.078443,0.142857,0.615314,0.5,0,0.2,0,0,?,0,0,0,?,?,Architect__Activity,+
0.372549,15,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Lake__YearInSpaceflight,+
0,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0.025,0,?,0,?,0,?,0.006884,Philosopher__SportsLeague,+
0.388889,6,0,1,0.128505,0.072783,1.609438,108,0.082205,0.125,0.615314,0.461538,0,0.2,0.018519,0,?,0,?,0,?,0.005052,Stream__Valley,+
0.415414,17,0,0,?,?,?,?,?,?,?,?,0,0.2,0.047619,0,?,0,?,0,0.277778,?,SoftballLeague__PublicTransitSystem,+
0.416667,18,0,1,?,?,?,?,?,?,?,?,0,0.2,0.043165,0,?,0,?,0,?,0.001848,AdministrativeRegion__Canal,+
0.494872,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0.028329,0,?,0,?,0,?,0.002393,MartialArtist__Politician,-
0.58,17,0.071429,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.005481,PeriodicalLiterature__Park,+
0,14,0.222222,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0,SpaceStation__AdministrativeRegion,+
0.449643,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001355,Gnetophytes__TelevisionEpisode,+
0.416667,11,0,1,0.39431,0.121096,1.742969,267,0.433661,0.142857,4.098781,0.608696,0,0.2,0,0,?,0,0,0,?,?,Organisation__Device,+
0.45,9,0,1,0.05703,0.066489,2.079442,38,0.195362,0.2,1.906465,0.714286,0,0.2,0,0,?,0,?,0,?,0.001738,Ambassador__Fish,+
0.452092,20,0,0,?,?,?,?,?,?,?,?,0,0.2,0.111111,0,?,0,?,0,?,?,ResearchProject__MotorcycleRacingLeague,+
0.444444,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Fish__NascarDriver,+
0.451389,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.333333,0.000731,Stream__ChemicalCompound,+
0,8,0.111111,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.222222,0.001045,Fern__TradeUnion,+
0,9,0,0,?,?,?,?,?,?,?,?,0,0.2,0.029289,0,?,0,?,0,?,?,AdultActor__SportsTeam,+
0,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.222222,?,Grape__YearInSpaceflight,+
0.57381,7,0,1,0.233963,0.08091,1.386294,140,0.159166,0.1,1.169783,0.470588,0,0.2,0.028939,0,?,0,?,0,?,0.005328,Country__Journalist,+
0.498077,11,0.095238,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,FootballMatch__Film,+
0.488889,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001078,Rocket__AcademicJournal,+
0,8,0,1,0.060407,?,1.742969,32,?,0.142857,2.869944,0.571429,0,0.2,0,0,?,0,?,0,?,?,Mollusca__Band,+
0,8,0.111111,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001136,Bone__MusicGenre,+
0.308081,21,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Device__EducationalInstitution,+
0.412698,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0.023041,0,?,0,?,0,0.222222,0.000501,Artist__BaseballLeague,+
0.422222,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0.032864,0,?,0,?,0,?,0.005445,SportsTeam__Cleric,+
0.425641,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0.014286,0,?,0,?,0,?,0.002668,Boxer__MountainRange,+
0.464286,6,0,1,0.136509,0.073872,1.290984,122,0.14736,0.090909,1.169783,0.444444,0,0.2,0.012579,0,?,0,?,0,0.111111,0.001667,Airport__City,+
0.430159,12,0.060606,0,?,?,?,?,?,?,?,?,0,0.2,0.014388,0,?,0,?,0,?,?,PopulatedPlace__IceHockeyLeague,+
0.458754,16,0,1,?,?,?,?,?,?,?,?,0,0.2,0.064356,0,?,0,?,0,?,0.005013,EducationalInstitution__Scientist,+
0.395238,5,0.125,1,0.124654,0.055819,0.855666,99,?,0.058824,?,0.2,0,0.2,0,0,?,0.002028,?,1,0.222222,0.003834,Disease__Grape,+
0.628571,7,0.1,1,0.125126,?,1.386294,39,?,0.1,1.169783,0.470588,0,0.2,0.031546,0,?,0,?,0,?,0.001564,Country__Cricketer,+
0.448773,30,0.045455,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SupremeCourtOfTheUnitedStatesCase__Airline,+
0,13,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,WaterwayTunnel__Olympics,+
0.440476,12,0.090909,1,?,?,?,?,?,?,?,?,0,0.2,0.038462,0,?,0,?,0,?,?,Cave__LacrosseLeague,+
0.537879,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001778,MusicalWork__Bacteria,+
0.546898,9,0.275862,1,0.137359,?,1.290984,59,?,0.090909,0.778298,0.375,0,0.2,0.047619,0,?,0,?,0,?,0.001653,Legislature__Infrastructure,+
0.444444,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SnookerChamp__Vein,+
0.319444,15,0,1,?,?,?,?,?,?,?,?,1,0.2,0.028329,0.012658,?,0,?,0,?,0.001988,Person__BasketballPlayer,-
0.451852,11,0.142857,1,?,?,?,?,?,?,?,?,0,0.2,0.04,0,?,0,?,0,?,?,IceHockeyPlayer__Newspaper,+
0.516667,8,0,0,?,?,?,?,?,?,?,?,0,0.2,0.042254,0,?,0,?,0,?,?,GolfLeague__SoccerClub,+
0,8,0,1,0.112321,0.062788,1.290984,24,0.169137,0.090909,1.779597,0.421053,0,0.2,0,0,?,0,?,0,?,0.001573,School__Olympics,+
0,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AdultActor__WrestlingEvent,+
0,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.111111,0,?,0,?,0,?,?,ResearchProject__BasketballLeague,+
0,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.033333,0,?,0,?,0,?,?,TennisLeague__PersonFunction,+
0.505556,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0.028329,0,?,0,?,0,?,0.003332,Journalist__TennisPlayer,-
0.676191,4,0.125,1,0.267223,0.116002,2.302585,124,0.520421,0.25,4.677327,0.823529,1,0.2,0.013889,0.0125,?,0,0,0,?,?,Place__Village,-
0.438095,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,FloweringPlant__LacrosseLeague,+
0.583333,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.002541,SpaceStation__Planet,+
0.465079,8,0.095238,1,0.093366,?,1.491655,65,?,0.111111,3.443617,0.636364,0,0.2,0,0,?,0,?,0,?,0.001697,Website__Locomotive,+
0.399145,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.048387,0,?,0,?,0,?,0.002823,TradeUnion__HistoricPlace,+
0.642491,10,0.166667,1,?,?,?,?,?,?,?,?,0,0.2,0.072072,0,?,0,?,0,?,0.000715,College__ComicsCreator,+
0,9,0,1,0.056953,?,1.609438,23,?,0.125,1.169783,0.533333,0,0.2,0,0,?,0,?,0,?,0.001987,Eukaryote__Continent,+
0.483333,5,0,1,0.069431,0.064806,1.290984,60,0.073862,0.090909,0.615314,0.375,0,0.2,0,0,?,0,?,0,?,0.001452,Mayor__Bone,+
0.580586,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.002477,BasketballTeam__MusicFestival,+
0.544444,13,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Band__AcademicJournal,+
0.453704,8,0,1,0.064967,?,1.491655,14,?,0.111111,1.370741,0.5,0,0.2,0,0,?,0,?,0,?,?,LaunchPad__Vein,+
0.306349,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.003153,AcademicJournal__Disease,+
0.464286,7,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Work__Archaea,+
0.417544,17,0.071429,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.00502,Nerve__ProgrammingLanguage,+
0.47619,17,0.064516,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Artery__MixedMartialArtsEvent,+
0.518519,7,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Artery__GrandPrix,+
0.388889,12,0,0,?,?,?,?,?,?,?,?,0,0.2,0.045455,0,?,0,?,0,?,?,IceHockeyLeague__SportsTeam,+
0,8,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,GrandPrix__Ship,+
0.372222,14,0,0,?,?,?,?,?,?,?,?,0,0.2,0.024155,0,?,0,?,0,?,?,SoccerLeague__BadmintonPlayer,+
0.447619,6,0.125,1,0.18924,?,1.290984,67,?,0.090909,1.169783,0.444444,0,0.2,0,0,?,0,0,0,?,?,Website__Place,+
0.564408,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0.045455,0,?,0,?,0,?,?,MilitaryUnit__PrimeMinister,+
0.433333,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0.014706,0,?,0,?,0,?,?,Hotel__WineRegion,+
0.585965,16,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SnookerWorldRanking__Boxer,+
0.708333,7,0,1,0.073716,?,1.386294,74,?,0.1,1.370741,0.526316,0,0.2,0,0,?,0,0,0,0.277778,0.001432,Spacecraft__Bacteria,+
0.422619,7,0,1,0.144624,0.055876,1.203973,51,?,0.083333,?,0.266667,0,0.2,0,0,?,0,?,0,0.111111,0.000614,Species__Monument,+
0.436508,6,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.000894,Muscle__SkiArea,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,0,0,0.166667,0.000638,Fungus__MartialArtist,+
0.641444,14,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.004053,ChemicalSubstance__AmericanFootballTeam,+
0.477273,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Broadcaster__ClubMoss,+
0.578373,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0.114754,0,?,0,?,0,?,0.007968,RadioStation__BroadcastNetwork,+
0,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0.035088,0,?,0,?,0,?,?,Broadcaster__SkiArea,+
0.531746,19,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Bird__MixedMartialArtsEvent,+
0.481944,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.023923,0,?,0,?,0,?,?,VideogamesLeague__IceHockeyPlayer,+
0.44697,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001542,Lake__WrittenWork,+
0.531136,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001684,MusicFestival__BaseballPlayer,+
0.45,9,0,1,0.140347,0.061432,1.290984,69,?,0.090909,?,0.285714,0,0.2,0,0,?,0,?,0,?,?,Restaurant__Play,+
0.466977,18,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.000488,MusicFestival__ArchitecturalStructure,+
0.1,24,0.051282,1,?,?,?,?,?,?,?,?,0,0.2,0.027027,0,?,0,?,0,?,?,Artist__AustralianRulesFootballPlayer,-
0,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001035,RecordLabel__Fungus,+
0.427579,15,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.000125,ChemicalCompound__SkiArea,+
0.309524,16,0.129032,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,RouteOfTransportation__Weapon,+
0.557881,17,0.042553,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.333333,0.001686,ProgrammingLanguage__AustralianFootballLeague,+
0.483333,9,0,1,0.018555,?,0.980829,43,?,0.066667,0.778298,0.3,0,0.2,0,0,?,0,?,0,?,?,Cardinal__Embryology,+
0.527778,6,0,1,0.048891,?,1.049822,22,?,0.071429,?,0.235294,0,0.2,0,0,?,0,?,0,?,0.002149,Mollusca__Cleric,+
0.425641,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,FootballMatch__Mayor,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,FilmFestival__Band,+
0,18,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Museum__BiologicalDatabase,+
0.419231,17,0,0,?,?,?,?,?,?,?,?,0,0.2,0.02649,0,?,0,?,0,?,0.001127,RailwayTunnel__AdministrativeRegion,+
0,22,0,1,?,?,?,?,?,?,?,?,0,0.2,0.042857,0,?,0,?,0,?,0.001382,Road__AustralianFootballLeague,+
0.403509,17,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,AnatomicalStructure__Comedian,+
0.555556,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001662,Cricketer__GivenName,+
0.410101,31,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Mayor__SupremeCourtOfTheUnitedStatesCase,+
0.420833,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0.029557,0,?,0,?,0,?,0.002929,Saint__GovernmentAgency,+
0.544444,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,BadmintonPlayer__Game,+
0.297619,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,ClubMoss__WrestlingEvent,+
0,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,ChristianBishop__Name,+
0.539683,6,0.117647,1,0.220099,0.083343,1.491655,112,0.16317,0.111111,1.169783,0.470588,0,0.2,0,0,?,0,0,0,?,?,Village__Device,+
0.546296,8,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,LaunchPad__GrandPrix,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.005048,MusicFestival__Plant,+
0,19,0,0,?,?,?,?,?,?,?,?,0,0.2,0.04918,0,?,0,?,0,0.166667,?,PoloLeague__EducationalInstitution,+
0.550595,10,0.352941,0,?,?,?,?,?,?,?,?,0,0.2,0.058824,0,?,0,?,0,?,?,SpeedwayLeague__AutoRacingLeague,+
0.566667,8,0,1,?,?,?,?,?,?,?,?,0,0.2,0.045455,0,?,0,0,0,?,?,RoadTunnel__Band,+
0.513889,13,0,0,?,?,?,?,?,?,?,?,0,0.2,0.051724,0,?,0,?,0,?,0.003212,BroadcastNetwork__SportsLeague,+
0.324074,8,0,1,0.044022,?,1.203973,12,?,0.083333,?,0.266667,0,0.2,0,0,?,0,?,0,?,0.002629,Database__Cricketer,+
0.440476,11,0.090909,1,?,?,?,?,?,?,?,?,0,0.2,0.035714,0,?,0,?,0,?,?,Lake__HandballLeague,+
0,20,0,1,?,?,?,?,?,?,?,?,0,0.2,0.010582,0,?,0,?,0,?,?,AmericanFootballPlayer__Race,+
0,19,0,1,?,?,?,?,?,?,?,?,0,0.2,0.070423,0,?,0,?,0,?,?,University__AmericanFootballPlayer,+
0.455882,14,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.277778,0.002692,ChemicalSubstance__Building,+
0.418519,16,0,1,?,?,?,?,?,?,?,?,0,0.2,0.024155,0,?,0,?,0,?,?,Boxer__InlineHockeyLeague,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,0.222222,?,Village__OlympicResult,+
0,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,Work__SoccerLeague,+
0.520635,17,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,MeanOfTransportation__FloweringPlant,+
0.345238,16,0,0,?,?,?,?,?,?,?,?,0,0.2,0.033333,0,?,0,?,0,?,?,PersonFunction__BasketballLeague,+
0.419192,10,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.002267,MusicalWork__Planet,+
0,15,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,MilitaryConflict__Work,+
0.422619,8,0,1,0.121264,0.080281,1.609438,42,0.111084,0.125,0.778298,0.461538,0,0.2,0,0,?,0,?,0,?,0.001646,Database__Country,+
0,17,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,YearInSpaceflight__Food,+
0.442002,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0.015,0,?,0,?,0,?,0.000739,PrimeMinister__SkiArea,+
0.470563,11,0.068966,1,?,?,?,?,?,?,?,?,0,0.2,0.025788,0,?,0,?,0,?,?,Congressman__MilitaryPerson,-
0.399495,19,0.04878,0,?,?,?,?,?,?,?,?,0,0.2,0.014563,0,?,0,?,0,?,0.000111,PlayboyPlaymate__ArchitecturalStructure,+
0.447619,7,0,1,0.12592,?,1.491655,60,?,0.111111,2.491596,0.6,0,0.2,0.026738,0,?,0.001001,?,0,?,?,Website__Model,+
0,7,0,1,0.074732,?,1.386294,15,?,0.1,2.491596,0.571429,0,0.2,0.065789,0,?,0,?,0,?,0.0019,Hotel__Airline,+
0.42381,11,0,1,0.230756,?,1.290984,78,?,0.090909,?,0.285714,0,0.2,0.012766,0,?,0,?,0,?,0.001154,Actor__Infrastructure,+
0,7,0,1,0.069687,?,0.798508,31,?,0.055556,?,0.190476,0,0.2,0,0,?,0,?,0,?,0.007026,Project__Cycad,+
0,7,0,1,0.175216,0.066058,1.89712,86,0.091037,0.166667,2.869944,0.615385,0,0.2,0,0,?,0.06288,0.057377,1,0.111111,0.002869,Species__Book,+
0.430556,8,0,1,0.177006,0.065609,1.742969,209,0.193278,0.142857,1.825838,0.7,0,0.2,0,0,?,0,?,0,0.166667,0.001397,Fungus__Criminal,+
0.1,9,0.086957,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,MilitaryUnit__Musical,+
0.391053,30,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,WomensTennisAssociationTournament__Holiday,+
0,9,0,1,0.128312,0.075682,1.290984,34,0.17183,0.090909,1.370741,0.5,0,0.2,0.026738,0,?,0,?,0,?,?,Ambassador__Work,+
0.472222,6,0,1,0.16272,0.058499,1.491655,59,0.120387,0.111111,1.169783,0.5,0,0.2,0.007353,0,?,0,?,0,0.166667,0.005359,Moss__Island,+
0,10,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SportsEvent__TradeUnion,+
0.481481,9,0,1,0.164446,0.079474,1.491655,65,0.178898,0.111111,1.370741,0.555556,0,0.2,0.041885,0,?,0,0,0,?,?,Scientist__Newspaper,+
0,12,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SpeedwayLeague__Cycad,+
0.482323,10,0,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SportsEvent__NascarDriver,+
0.408333,9,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,?,SportsTeam__Activity,+
0.395238,6,0,1,0.059241,0.061297,1.742969,53,0.189444,0.142857,1.906465,0.625,0,0.2,0,0,?,0,?,0,?,0.002277,Brain__Senator,+
0.47972,11,0,0,?,?,?,?,?,?,?,?,0,0.2,0.02551,0,?,0,?,0,?,0.000918,WrittenWork__MartialArtist,+
0.511905,7,0.105263,1,0.180746,0.053904,1.12393,94,?,0.076923,?,0.25,0,0.2,0.024752,0,?,0,?,0,?,?,Athlete__Software,+
0.592857,12,0.090909,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.002352,Bone__BaseballPlayer,+
0,9,0.08,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.000898,Amphibian__SpaceMission,+
0.550974,17,0.121212,1,?,?,?,?,?,?,?,?,0,0.2,0.042254,0,?,0,?,0,?,0.000686,Airline__ArchitecturalStructure,+
0,10,0.076923,0,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.001219,GivenName__MountainRange,+
0.510256,11,0,1,?,?,?,?,?,?,?,?,0,0.2,0,0,?,0,?,0,?,0.00196,MartialArtist__Automobile,+
